default.parsedtable.col_1,default.parsedtable.col_2,default.parsedtable.col_3,default.parsedtable.col_4,default.parsedtable.col_5,default.parsedtable.col_6,default.parsedtable.col_7,default.parsedtable.col_8,default.parsedtable.col_9,default.parsedtable.col_10,default.parsedtable.col_11,default.parsedtable.col_12,default.parsedtable.col_13,default.parsedtable.col_14,default.parsedtable.col_15,default.parsedtable.col_16,default.parsedtable.col_17,default.parsedtable.col_18,default.parsedtable.col_19
,Name,HallmarkGlobalTechnologiesLimited,Locations,Chennai,Experience,3-7years,Keywords/Skills,NetappFunctionIT,Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,23rdJan2015,,,,,,
,Name,HallmarkGlobalTechnologiesLimited,Locations,Chennai,Experience,3-7years,Keywords/Skills,vmaxFunctionIT,Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,23rdJan2015,,,,,,
,Name,HCLInfosystemsLimited,Locations,Kavaratti,Nationality,India,Experience,0-1years,Keywords/Skills,desktop/hardware,Education,"BCA,B.E/B.Tech,DiplomaFunctionIT",Role,H/WInstallation/MaintenanceEnggIndustryIT/Computers-Hardware,PostedOn,12thMar2015,,
,Name,HCLInfosystemsLimited,Locations,Kavaratti,Nationality,India,Experience,0-1years,Keywords/Skills,desktop/hardware,Education,B.E/B.TechFunctionIT,Role,H/WInstallation/MaintenanceEnggIndustryIT/Computers-Hardware,PostedOn,12thMar2015,,
,Name,HCLInfosystemsLimited,Locations,Pondicherry,Nationality,India,Experience,2-4years,Keywords/Skills,"6yearsofBPOindustryexperiencewithatleast2yearSMEexperienceinDesktops,Laptop,Printersenvironment",Education,AnygraduateFunctionIT,Role,TeamLeader/TechnicalLeaderIndustryITES/BPO,PostedOn,13thFeb2015,JobRefcode,prithvi006
,Name,HCLInfosystemsLimited,Locations,Pondicherry,Nationality,India,Experience,1-4years,Keywords/Skills,ofbasichardware/softwareconceptsonDesktop/laptop/Printersalongwithcompletesetupandinstallationprocess,Education,AnygraduateFunctionIT,Role,TechnicalSupportEngineerIndustryITES/BPO,PostedOn,11thFeb2015,JobRefcode,prithvi005
,Name,HCLTechnologiesLimited,Locations,Chennai,Nationality,India,Experience,5-10years,Keywords/Skills,"OracleApps,HRMS,HRMSPayroll,OracleAppsHRMSPayrollFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,19thMar2015,JobRefcode,HRMSChennai,,
Walk-inDetailsDate:21/03/2015To21/03/2015Timings:9:00AMto2:30PMCity:ChennaiVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"devicedriver,""linuxdevicedriver"",""kernelprogramming"",""devicedriver""",Education,"B.E/B.Tech,MBA,MCA,M.E/M.Tech/MS,M.Sc,PGDCA,PGDiplomaFunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,18thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"c,""linuxdevicedriver"",""devicedriver"",""kernelprogramming"",""linuxinternals"",""kernelinternal""Uboot"",""boardbringup"",""Bootloader"",""BSP"",""DeviceDriver""FunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,18thMar2015,JobRefcode,CPlatformDev,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"c,""linuxdevicedriver"",""devicedriver"",""kernelprogramming"",""linuxinternals"",""kernelinternal""FunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,18thMar2015,JobRefcode,CLinux,,,,
Walk-inDetailsDate:25/03/2015To25/03/2015Timings:10:00AMto5:00PMCity:ChennaiVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
Walk-inDetailsDate:27/03/2015To27/03/2015Timings:10:00AMto5:00PMCity:CoimbatoreVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
Walk-inDetailsDate:31/03/2015To31/03/2015Timings:10:00AMto5:00PMCity:CoimbatoreVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
Walk-inDetailsDate:24/03/2015To24/03/2015Timings:10:00AMto5:00PMCity:ChennaiVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
Walk-inDetailsDate:20/03/2015To20/03/2015Timings:10:00AMto5:00PMCity:Cochin/Kochi/ErnakulamVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration"",Finance,Accounting,""F&A"",""Finance&Accounting"",Accounts,""MutualFunds"",Equities,Bonds,Derivatives,FX,""BankDebts"",financial",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,18thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,2-7years,Keywords/Skills,"msdynamicsCRM,CRM,DynamicsCRMFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,18thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,0-4years,Keywords/Skills,"TechnicalSupport,""TechSupport"",""ITHelpdesk"",""ServiceDesk"",""Servicedesk""FunctionIT",Role,SystemAdministratorIndustryITES/BPOIT/Computers-HardwareSalary1.00-4.00lacs,PostedOn,16thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,3-10years,Keywords/Skills,"MSExchangeAdmin,""MSExchangeAdministration"",""MSExchangeAdministrator"",""Exchangeadmin"",""ExchangeAdministration"",""Exchangeadministrator"",""Exchangeserveradmin"",""Exchangeserveradministration"",""Exchangeserveradministrator""FunctionIT",Role,SystemAdministratorIndustryIT/Computers-SoftwareSalary3.00-15.00lacs,PostedOn,16thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"odi,ODI,'oracleDataintegrator','OracleDataIntegration','OracleDataIntegrating','OracleDataIntegratings','OracleDataIntegrations','OracleDataIntegrator','ODIDeveloper','OracleDataIntegratorsdevelopers'FunctionIT",Role,SoftwareEngineer/ProgrammerSystemsEngineerTeamLeader/TechnicalLeaderSystemAnalyst/TechArchitectIndustryIT/Computers-Software,PostedOn,16thMar2015,,,,,,
Walk-inDetailsDate:21/03/2015To21/03/2015Timings:10:00AMto2:00PMCity:ChennaiVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"ODI,'ODI','oracleDataIntegrator','OracleDataIntegration','OracleDataIntegrating','ODIDeveloper','ORACLEDATADEVELOPER','oracleDataintegrator'",Education,AnygraduateFunctionIT,Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderProjectLeader/ProjectManagerDatabaseArchitect/DesignerIndustryIT/Computers-Software,PostedOn,16thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Nationality,India,Experience,7-9years,Keywords/Skills,"humanresource,""Sourcinglead"",""talentacqusition"",""recruitment"",""sourcingplanner""",Education,MBAFunctionHumanResources,Role,Recruitment-Head/MgrIndustryIT/Computers-Software,PostedOn,12thMar2015,,
,Name,HCLTechnologiesLimited,Locations,"Delhi,Noida",Experience,17-25years,Keywords/Skills,"MiningLeader,MiningDeliveryLeader",Education,Anygraduate,Role,OtherRolesIndustryMining,PostedOn,12thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Bengaluru/Bangalore,Experience,4-9years,Keywords/Skills,"Cognos,CognosDeveloper,CognosProgrammerFunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,11thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,0-4years,Keywords/Skills,"ITHelpdesk,ServiceDesk,""Technicalsupportofficer"",""Semitechnical"",""technicalvoice/semivoice"",""TSO"",""technicalassociate"",""technicalsupportofficer"",""technicalsupportexecutiveFunctionCustomerService/CallCentre/BPO",Role,TechnicalSupportExecutive(voice)CustomerServiceExecutive(Voice)IndustryITES/BPOSalary1.80-4.00lacs,PostedOn,11thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,0-4years,Keywords/Skills,"ITHelpdesk,ServiceDesk,""Technicalsupportofficer"",""Semitechnical"",""technicalvoice/semivoice"",""TSO"",""technicalassociate"",""technicalsupportofficer"",""technicalsupportexecutiveFunctionCustomerService/CallCentre/BPO",Role,TechnicalSupportExecutive(voice)CustomerServiceExecutive(Voice)IndustryITES/BPOSalary1.80-4.00lacs,PostedOn,11thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Bengaluru/Bangalore,Experience,1-5years,Keywords/Skills,"TechnicalSupport,""TechnicalAnalyst"",""ITAnalyst"",""ServiceDesk"",""ITHelpDesk""FunctionCustomerService/CallCentre/BPOIT",Role,TechnicalSupportEngineerIndustryITES/BPOIT/Computers-Hardware,PostedOn,11thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,1-5years,Keywords/Skills,"TechnicalSupport,""TechnicalAnalyst"",""ITAnalyst"",""ServiceDesk"",""ITHelpDesk""FunctionCustomerService/CallCentre/BPOIT",Role,TechnicalSupportEngineerIndustryITES/BPOIT/Computers-Hardware,PostedOn,11thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"c,""linuxdevicedriver"",""devicedriver"",""kernelprogramming"",""linuxinternals"",""kernelinternal""Uboot"",""boardbringup"",""Bootloader"",""BSP"",""DeviceDriver""FunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,11thMar2015,JobRefcode,CPlatformDev,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,3-8years,Keywords/Skills,"c,""linuxdevicedriver"",""devicedriver"",""kernelprogramming"",""linuxinternals"",""kernelinternal""FunctionIT",Role,SoftwareEngineer/ProgrammerTeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,11thMar2015,JobRefcode,CLinux,,,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,0-4years,Keywords/Skills,"ITHelpdesk,ServiceDesk,""Technicalsupportofficer"",""Semitechnical"",""technicalvoice/semivoice"",""TSO"",""technicalassociate"",""technicalsupportofficer"",""technicalsupportexecutiveFunctionCustomerService/CallCentre/BPO",Role,TechnicalSupportExecutive(voice)CustomerServiceExecutive(Voice)IndustryITES/BPOSalary1.80-4.00lacs,PostedOn,10thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,0-3years,Keywords/Skills,"Freshers,Fresher,Telecom,""VoiceProcess"",""TechnicalSupport"",""TechSupport"",Voice,Inbound,""Customerservice""",Education,AnygraduateFunctionCustomerService/CallCentre/BPO,Role,FresherTechnicalSupportExecutive(voice)CustomerServiceExecutive(Voice)IndustryIT/Computers-Software,PostedOn,9thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"CapitalMarkets,""FundAdministration""Finance&Accounting"",""F&A"",Finance,Accounts,Equities,Bonds,Derivatives,FX,""BankDebts""",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryITES/BPO,PostedOn,9thMar2015,,,,
Walk-inDetailsDate:16/03/2015To20/03/2015Timings:10:00AMto6:00PMCity:ChennaiVenueDetailsShallbeavailableonsuccessfulapplication.,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,0-3years,Keywords/Skills,"voiceprocess,fresher,bpofresher,callcenter,techsupport,technicalsupportexecutiveFunctionCustomerService/CallCentre/BPO",Role,TechnicalSupportExecutive(voice)IndustryITES/BPO,PostedOn,7thMar2015,,,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,5-8years,Keywords/Skills,"FP&A,budgeting,forecasting",Education,CAFunctionFinance&Accounts,Role,Financial/BusinessAnalystIndustryAutomotive/AncillariesIT/Computers-HardwareIT/Computers-SoftwareMachinery/EquipmentMfg.Oil/Gas/PetroleumPharmaceuticalPlastic/RubberTelecomIron/SteelLeatherPaper,PostedOn,7thMar2015,JobRefcode,FP&AChennai/07/03,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,9-12years,Keywords/Skills,CompanySecretary,Education,CS,Role,OtherRoles-CSIndustryIT/Computers-HardwareIT/Computers-Software,PostedOn,7thMar2015,JobRefcode,CS/07/03,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,2-7years,Keywords/Skills,"FP&A,budgeting,forecasting",Education,"CA,CAInter,MBAFunctionFinance&Accounts",Role,Financial/BusinessAnalystIndustryIT/Computers-HardwareIT/Computers-Software,PostedOn,7thMar2015,JobRefcode,FP&A/07/03,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,7-15years,Keywords/Skills,"contracts,""ITOutsourcingContracts""",Education,BL/LLBFunctionLegal,Role,LegalHeadIndustryIT/Computers-HardwareIT/Computers-Software,PostedOn,7thMar2015,JobRefcode,CCG/07/03,,
,Name,HCLTechnologiesLimited,Locations,Noida,Experience,7-9years,Keywords/Skills,ITAudit,Education,"B.E/B.Tech,CA,MBA",Role,OtherRolesIndustryIT/Computers-HardwareIT/Computers-Software,PostedOn,7thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,7-9years,Keywords/Skills,"litigation,contracts,",Education,BL/LLBFunctionLegal,Role,OtherLegal/Law-LegalManagerIndustryIT/Computers-HardwareIT/Computers-Software,PostedOn,7thMar2015,JobRefcode,LegalChennai/07/03,,
,Name,HCLTechnologiesLimited,Locations,"Chennai,Coimbatore",Experience,0-2years,Keywords/Skills,"Freshers,Fresher,Accounting,""CapitalMarkets"",""FundAdministration"",""Finance&Accounting""",Education,"B.A,B.B.A,B.Com,M.A,MBA,M.ComFunctionFinance&Accounts",Role,FresherIndustryBanking/FinancialServicesITES/BPO,PostedOn,7thMar2015,,,,
,Name,HCLTechnologiesLimited,Locations,Chennai,Experience,1-6years,Keywords/Skills,"Technicalsupport,""Technicalvoice"",""helpdesk"",""serviceDesk"",""datacenteroperations"",""ITAnalyst"",""Remotedesktopsupport""",Education,AnygraduateFunctionIT,Role,SystemsEngineerSystemAdministratorNetworkAdministratorTechnicalSupportEngineerIndustryIT/Computers-Hardware,PostedOn,6thMar2015,,,,
,Name,I-LinkSoftwarePrivateLimited,Locations,Bengaluru/Bangalore,Experience,1-8years,Keywords/Skills,"USRecruiter,""ITRecruiter"",""USStaffing"",W2,""NIghtShift"",""TechnicalRecruiter""",Education,AnygraduateFunctionHumanResources,Role,"HRExecutive/RecruiterIndustryAutomotive/AncillariesBioTechnology&LifeSciencesFMCGEntertainment/Media/PublishingPharmaceuticalPower/EnergyRetailingTelecomEngineering,Procurement,Construction",PostedOn,14thMar2015,,,,
,Name,IBMDaksh,Locations,Bengaluru/Bangalore,Experience,0-2years,Keywords/Skills,"internationalvoice,voice,CSR,CSE,""customersupport"",""cutomerservice"",BPO,CSA,CCE,CSA,CSR,BPO,Voice,Callcentre,callcenter,bpo,customercare,customersupport,businessprocessoutsourcingFunctionCustomerService/CallCentre/BPO",Role,CustomerServiceExecutive(Voice)IndustryITES/BPOSalary1.20-2.00lacs,PostedOn,20thMar2015,,,,,,
,Name,IBMDaksh,Locations,Gurgaon,Experience,0-2years,Keywords/Skills,"tse,tso,""technicalsupport"",""technicalprocess"",bpo,""callcenter"",ites,cce,inbound,telecalling,telemarketing,""voiceprocess"",""customercare"",""customersupport"",""customerservicFunctionCustomerService/CallCentre/BPOIT",Role,FresherTechnicalSupportExecutive(voice)CustomerServiceExecutive(Voice)TelemarketingExecutiveIndustryITES/BPOIT/Computers-HardwareIT/Computers-SoftwareAny,PostedOn,16thFeb2015,JobRefcode,G-VM-NCR,,,,
,Name,IcanManpowerSolutions,Locations,Mumbai,Experience,2-4years,Keywords/Skills,"Softwaredeveloper,""ASP.NET4"",ADO.NET,""MSSQL2005"",""AJAXControls""FunctionIT",Role,OtherSoftware/Hardware/EDP-DeveloperIndustryEntertainment/Media/PublishingE-Learning,PostedOn,19thMar2015,JobRefcode,ICC-ECOM-SE,,,,
,Name,IcanManpowerSolutions,Locations,Mumbai,Experience,0-4years,Keywords/Skills,"CSR,Agent,Rep,CSA,Executive,""telecaller"",telecaller,""customersupportexecutive"",bpo,""callcenter"",CSA,CCR,cca,customercare,""customercare""FunctionAdmin/SecretarialCustomerService/CallCentre/BPO",Role,FresherReceptionist/FrontDeskSecretarialCustomerServiceExecutive(Voice)IndustryITES/BPOAdvertising/PR/Events,PostedOn,17thMar2015,JobRefcode,ICMS/AM/CSR-102,,,,
,Name,IcanManpowerSolutions,Locations,Mumbai,Experience,6-7years,Keywords/Skills,"AccountManager,""ManagerAccounts"",accounts,TDS,banks,FunctionFinance&Accounts",Role,AccountantAccountsManagerIndustryBanking/FinancialServicesIT/Computers-HardwareIT/Computers-Software,PostedOn,20thFeb2015,JobRefcode,ICC-1785,,,,
,Name,IcanManpowerSolutions,Locations,Mumbai,Experience,1-2years,Keywords/Skills,"TeamLeader,AM,""LeadGeneration"",""TeamHandling"",BPOFunctionCustomerService/CallCentre/BPOMarketing&Communications",Role,OtherCustomerService/CallCenter-TeamLeaderIndustryAdvertising/PR/EventsMarketResearch,PostedOn,11thFeb2015,JobRefcode,ICC1181,,,,
,Name,IcanManpowerSolutions,Locations,Mumbai,Experience,3-4years,Keywords/Skills,"SapFico,Fico,accounts,accountant,BRD,",Education,"AnygraduateFunctionFinance&AccountsBanking,Insurance&FinancialServices",Role,OtherBFSI-QASapFicoIndustryBanking/FinancialServices,PostedOn,1stFeb2015,JobRefcode,ICC-0109,,
,Name,IcertisSolutions,Locations,Pune,Experience,10-20years,Keywords/Skills,"Healthcare,""Lifescience"",PayerFunctionIT",Role,VP/Head-Technology(IT)ChiefTechnologyOfficerIndustryIT/Computers-Software,PostedOn,17thMar2015,JobRefcode,DirectorofHealthcareandLifesciencesSolutions,,,,
,Name,IcertisSolutions,Locations,Pune,Experience,12-22years,Keywords/Skills,"productmarketing,positioning,""marketingcollateral""FunctionMarketing&Communications",Role,Head-DirectMarketingVP/GM/Head-MarketingIndustryIT/Computers-Software,PostedOn,17thMar2015,,,,,,
,Name,IcertisSolutions,Locations,Pune,Experience,10-14years,Keywords/Skills,"Asp.net,MVC,Azure,Azureintegration,Implementation,TechnicalArchitect",Education,"BCA,B.E/B.Tech,B.Sc,MCA,M.E/M.Tech/MS,M.Sc,PGDCAFunctionIT",Role,TeamLeader/TechnicalLeaderSystemAnalyst/TechArchitectIndustryIT/Computers-Software,PostedOn,17thMar2015,JobRefcode,Monster-Mar'15,,
,Name,IcertisSolutions,Locations,Pune,Experience,2-4years,Keywords/Skills,"ASP.NET3.5/4.0/4.5,MVC,azure",Education,"B.E/B.Tech,B.Sc,MCA,M.E/M.Tech/MS,M.Sc,PGDCA,PGDiplomaFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,17thMar2015,,,,
,Name,IcertisSolutions,Locations,Pune,Experience,4-8years,Keywords/Skills,"Asp.net,MVC,Azure",Education,"BCA,B.E/B.Tech,B.Sc,MCA,M.E/M.Tech/MS,M.Sc,PGDCA,PGDiplomaFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,17thMar2015,JobRefcode,SSA/Monster/January2015,,
,Name,IcertisSolutions,Locations,Pune,Experience,2-4years,Keywords/Skills,"customersupport,""Servicerequest"",""technicalsupport"",BPO,KPO",Education,AnygraduateFunctionCustomerService/CallCentre/BPOIT,Role,TechnicalSupportExecutive(voice)TechnicalSupportRepresentative(Non-voice)CustomerServiceExecutive(Voice)CustomerServiceExecutive(Non-voice)IndustryITES/BPO,PostedOn,13thMar2015,JobRefcode,Monster-CBD-June2014,,
,Name,IcertisSolutions,Locations,Pune,Nationality,India,Experience,15-20years,Keywords/Skills,"BigData,AdvancedAnalytics,Hadoop,STORM,SPARK,QlikView,PowerBI,TableauandPowerPivot",Education,B.E/B.TechFunctionIT,Role,DeliveryManagerVP/Head-Technology(IT)ChiefTechnologyOfficerIndustryIT/Computers-Software,PostedOn,4thFeb2015,JobRefcode,HDCloud&BigData/Mar2015/Mon
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Nationality,India,Experience,0-5years,Keywords/Skills,Businessdevelopment-USA,Education,AnygraduateFunctionSales/BusinessDevelopment,Role,BusinessDevelopmentManagerBusinessDevelopmentExecutiveIndustryITES/BPOSalary2.00-6.00lacs,PostedOn,16thMar2015,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,2-4years,Keywords/Skills,"w2""USRecruiter""""USStaffing""""USITRecruiter""FunctionHumanResources",Role,HRExecutive/RecruiterOtherHumanResourceIndustryIT/Computers-SoftwareConsultancy,PostedOn,10thMar2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Nationality,India,Experience,1-6years,Keywords/Skills,BusinessdevelopmentforITStaffing-USA,Education,"BCA,B.Com,B.E/B.Tech,B.Sc,MBA,FunctionSales/BusinessDevelopment",Role,BusinessDevelopmentManagerBusinessDevelopmentExecutiveIndustryITES/BPOSalary2.00-8.00lacs,PostedOn,4thMar2015,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Mumbai,Experience,3-5years,Keywords/Skills,"drupal,js,css,formhandling,theming,templates,drupalcoreFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,26thFeb2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,1-5years,Keywords/Skills,"BDE,""businessdevelopmentexecutive"",""BDM"",""USSTAffing"",""USBD""FunctionIT",Role,OtherSoftware/Hardware/EDP-BusinessDevelopmentExecutiveIndustryIT/Computers-Software,PostedOn,10thFeb2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,3-6years,Keywords/Skills,"w2""USRecruiter""""USStaffing""""USITRecruiter""FunctionHumanResources",Role,HRExecutive/RecruiterOtherHumanResourceIndustryIT/Computers-SoftwareConsultancy,PostedOn,3rdFeb2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Bengaluru/Bangalore,Experience,6-10years,Keywords/Skills,"Biztalk,ESBToolkit,FunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,21stJan2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,3-10years,Keywords/Skills,"SavvionBPM,BizlogicAPI,SavvionBPMPortal,SBMServer,Java/J2EE,UNIX,BuildandDeployment,IBMWebsphere,Oracle,ShellScripting&Agile.FunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,21stJan2015,,,,,,
,Name,IdexcelTechnologiesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,2-5years,Keywords/Skills,"w2""USRecruiter""""USStaffing""""USITRecruiter""FunctionHumanResources",Role,OtherHumanResourceIndustryConsultancy,PostedOn,21stJan2015,,,,,,
,Name,IgnifySoftwarePrivateLimited,Locations,Pune,Experience,2-5years,Keywords/Skills,"QA,testing,DynamicsAXFunctionIT",Role,QualityAssuranceExecutiveQualityAssurance-ManagerIndustryIT/Computers-Software,PostedOn,18thMar2015,JobRefcode,QA-DAX,,,,
,Name,IgnifySoftwarePrivateLimited,Locations,Pune,Experience,2-4years,Keywords/Skills,"C#,ASP.NET,Javascript,webservices,JQuery,OOPS,&SQLServer,HTMLFunctionIT",Role,SoftwareEngineer/ProgrammerIndustryIT/Computers-Software,PostedOn,25thFeb2015,,,,,,
,Name,IgnifySoftwarePrivateLimited,Locations,Pune,Experience,3-5years,Keywords/Skills,"SSRS,SQL,.NET,GP2013,Dynamics,AXFunctionIT",Role,TeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,24thFeb2015,,,,,,
,Name,IgnifySoftwarePrivateLimited,Locations,"Bengaluru/Bangalore,Pune",Experience,5-10years,Keywords/Skills,"X++,AIF,SSRSFunctionIT",Role,TeamLeader/TechnicalLeaderIndustryIT/Computers-Software,PostedOn,23rdFeb2015,JobRefcode,Sr.TechnicalLead-MicrosoftDynamicsAX,,,,
,Name,IgnifySoftwarePrivateLimited,Locations,Pune,Experience,5-8years,Keywords/Skills,"ASP.NETMVC,C#,OOPS,WCF,SQLServerFunctionIT",Role,SystemAnalyst/TechArchitectIndustryIT/Computers-Software,PostedOn,12thFeb2015,,,,,,
,Name,IhaConsultingServicesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,35-45years,Keywords/Skills,"Science&Technology,Research&Development,R&D,InstitutionbuildingFunctionManufacturing/Engineering/R&D",Role,ResearchScientist,PostedOn,9thMar2015,,,,,,
,Name,IhaConsultingServicesPrivateLimited,Locations,Hyderabad/Secunderabad,Experience,0-1years,Keywords/Skills,"fresher,Management,Consultancy,globalbusiness,keenlearners",Role,ConsultantIndustryConsultancy,PostedOn,9thMar2015,,,,,,
